"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"imd.ufrn.benchmark.MatcherBenchmark.testHybridMatcher","avgt",1,5,"268,704012","52,896176","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testHybridMatcher:gc.alloc.rate","avgt",1,5,"744,516741","139,696978","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testHybridMatcher:gc.alloc.rate.norm","avgt",1,5,"209411307,520000","327353,365178","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testHybridMatcher:gc.count","avgt",1,5,"7,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testHybridMatcher:gc.time","avgt",1,5,"289,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testPTAtomicMatcher","avgt",1,5,"33,043861","6,685374","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTAtomicMatcher:gc.alloc.rate","avgt",1,5,"4389,224316","889,831688","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testPTAtomicMatcher:gc.alloc.rate.norm","avgt",1,5,"151799338,064728","43,946041","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTAtomicMatcher:gc.count","avgt",1,5,"31,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testPTAtomicMatcher:gc.time","avgt",1,5,"42,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testPTBasicoMatcher","avgt",1,5,"36,889029","20,129208","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTBasicoMatcher:gc.alloc.rate","avgt",1,5,"3981,285123","2047,817525","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testPTBasicoMatcher:gc.alloc.rate.norm","avgt",1,5,"151728227,047226","365787,239908","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTBasicoMatcher:gc.count","avgt",1,5,"26,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testPTBasicoMatcher:gc.time","avgt",1,5,"34,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testPTEAtomicMatcher","avgt",1,5,"3482,653630","666,790835","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTEAtomicMatcher:gc.alloc.rate","avgt",1,5,"62,084267","11,867931","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testPTEAtomicMatcher:gc.alloc.rate.norm","avgt",1,5,"226304390,400000","354157,414025","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTEAtomicMatcher:gc.count","avgt",1,5,"5,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testPTEAtomicMatcher:gc.time","avgt",1,5,"190,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testPTEBasicoMatcher","avgt",1,5,"3370,209066","1657,251585","ms/op"
