"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"imd.ufrn.benchmark.MatcherBenchmark.testHybridMatcher","avgt",1,5,"248,069019","75,487006","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testHybridMatcher:gc.alloc.rate","avgt",1,5,"809,183271","255,703635","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testHybridMatcher:gc.alloc.rate.norm","avgt",1,5,"209448652,800000","218397,129595","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testHybridMatcher:gc.count","avgt",1,5,"3,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testHybridMatcher:gc.time","avgt",1,5,"103,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testPTAtomicMatcher","avgt",1,5,"31,387082","6,050250","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTAtomicMatcher:gc.alloc.rate","avgt",1,5,"4619,772487","850,415588","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testPTAtomicMatcher:gc.alloc.rate.norm","avgt",1,5,"151799295,047772","34,135072","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTAtomicMatcher:gc.count","avgt",1,5,"33,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testPTAtomicMatcher:gc.time","avgt",1,5,"49,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testPTBasicoMatcher","avgt",1,5,"30,834457","5,312456","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTBasicoMatcher:gc.alloc.rate","avgt",1,5,"4698,100918","782,373480","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testPTBasicoMatcher:gc.alloc.rate.norm","avgt",1,5,"151714263,314827","497407,587337","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTBasicoMatcher:gc.count","avgt",1,5,"37,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testPTBasicoMatcher:gc.time","avgt",1,5,"38,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testPTEAtomicMatcher","avgt",1,5,"3053,171040","897,280566","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTEAtomicMatcher:gc.alloc.rate","avgt",1,5,"71,076767","19,232861","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testPTEAtomicMatcher:gc.alloc.rate.norm","avgt",1,5,"226595739,200000","1144051,614892","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTEAtomicMatcher:gc.count","avgt",1,5,"2,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testPTEAtomicMatcher:gc.time","avgt",1,5,"185,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testPTEBasicoMatcher","avgt",1,5,"3004,744658","207,326603","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTEBasicoMatcher:gc.alloc.rate","avgt",1,5,"71,894611","4,901921","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testPTEBasicoMatcher:gc.alloc.rate.norm","avgt",1,5,"226495491,200000","598734,232970","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTEBasicoMatcher:gc.count","avgt",1,5,"2,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testPTEBasicoMatcher:gc.time","avgt",1,5,"157,000000",NaN,"ms"
